name,type_label,description,lat,lng,origin,external_id,status
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2630589972,16.3921806767,verified,vienna:2255509,verified
Trinkbrunnen,drinking_fountain,,48.1633690265,16.2919704111,verified,vienna:2255510,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2765528759,16.4056541352,verified,vienna:2255511,verified
Trinkbrunnen,drinking_fountain,,48.2359835997,16.3902080485,verified,vienna:2255513,verified
Trinkbrunnen,drinking_fountain,,48.2139448123,16.3439822245,verified,vienna:2255514,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2189414535,16.3940681716,verified,vienna:2255515,verified
Trinkbrunnen,drinking_fountain,,48.2197236185,16.3961939271,verified,vienna:2255517,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1574049241,16.424770791,verified,vienna:2255518,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1424784817,16.3905084972,verified,vienna:2255520,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2147881868,16.4146400051,verified,vienna:2255521,verified
Trinkbrunnen,drinking_fountain,,48.2412249383,16.3093274595,verified,vienna:2255522,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2571675562,16.3884648806,verified,vienna:2255523,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2006748385,16.337890145,verified,vienna:2255524,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2233875268,16.3672706061,verified,vienna:2255525,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2236589239,16.3675335275,verified,vienna:2255526,verified
Trinkbrunnen,drinking_fountain,,48.2074680229,16.3512223057,verified,vienna:2255527,verified
Trinkbrunnen,drinking_fountain,,48.2075258161,16.3429561944,verified,vienna:2255528,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1887543795,16.3169178867,verified,vienna:2255529,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.18885584,16.3188763865,verified,vienna:2255531,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1823739804,16.2683806189,verified,vienna:2255532,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.257054478,16.3396013312,verified,vienna:2255533,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2282988903,16.3358295684,verified,vienna:2255534,verified
Trinkbrunnen,drinking_fountain,,48.2496856188,16.3477857153,verified,vienna:2255535,verified
Trinkbrunnen,drinking_fountain,,48.1659948122,16.2575442812,verified,vienna:2255536,verified
Trinkbrunnen,drinking_fountain,,48.18772553,16.4033260733,verified,vienna:2255537,verified
Trinkbrunnen,drinking_fountain,,48.2237372897,16.3460257973,verified,vienna:2255538,verified
Trinkbrunnen,drinking_fountain,,48.2024499341,16.3889178216,verified,vienna:2255539,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2141258439,16.3047176468,verified,vienna:2255540,verified
Trinkbrunnen,drinking_fountain,,48.2626167967,16.3873909987,verified,vienna:2255541,verified
Trinkbrunnen,drinking_fountain,,48.2124769046,16.4755408171,verified,vienna:2255542,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2260224704,16.4912176259,verified,vienna:2255543,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.217371161,16.4821431538,verified,vienna:2255544,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2777896502,16.4908551802,verified,vienna:2255545,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.218838069,16.4769948627,verified,vienna:2255546,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.246029275,16.4723925535,verified,vienna:2255547,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2145386803,16.4905327333,verified,vienna:2255548,verified
Trinkbrunnen,drinking_fountain,,48.2212692352,16.4845417811,verified,vienna:2255549,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2131246368,16.5244868568,verified,vienna:2255550,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2179528462,16.5252660404,verified,vienna:2255552,verified
Trinkbrunnen,drinking_fountain,,48.2141646349,16.4753182586,verified,vienna:2255553,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2974068151,16.4203835677,verified,vienna:2255555,verified
Trinkbrunnen,drinking_fountain,,48.2947171487,16.4166846211,verified,vienna:2255556,verified
Trinkbrunnen,drinking_fountain,,48.2946352478,16.4172232945,verified,vienna:2255557,verified
Trinkbrunnen,drinking_fountain,,48.2590639046,16.4236020233,verified,vienna:2255558,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.219453548,16.3943052267,verified,vienna:2255559,verified
Trinkbrunnen,drinking_fountain,,48.2531829034,16.442711057,verified,vienna:2255560,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1456233355,16.4041426809,verified,vienna:2255563,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1468185244,16.4014880126,verified,vienna:2255564,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1484913968,16.405443393,verified,vienna:2255565,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.145179757,16.4020355097,verified,vienna:2255566,verified
