id,name,type_label,type_num,lat,lng
2254411,Trinkbrunnen,drinking_fountain,4,48.241353447286066,16.393416887729686
2254412,Trinkbrunnen,drinking_fountain,4,48.24726358600595,16.388322389084582
2254413,Trinkbrunnen,drinking_fountain,4,48.24726219316088,16.389592376089205
2254414,Trinkbrunnen,drinking_fountain,4,48.24324048420103,16.391048718719233
2254415,Trinkbrunnen,drinking_fountain,4,48.24322194652013,16.393122358521925
2254416,Trinkbrunnen,drinking_fountain,4,48.24527113149487,16.39124431731554
2254417,Trinkbrunnen,drinking_fountain,4,48.24986788525748,16.386573868793946
2254418,Trinkbrunnen,drinking_fountain,4,48.25195355011647,16.382962126542807
2254419,Trinkbrunnen,drinking_fountain,4,48.29774548899828,16.347131968574498
2254420,Trinkbrunnen,drinking_fountain,4,48.22540902692244,16.418675920956964
2254421,Trinkbrunnen,drinking_fountain,4,48.200128120562034,16.456408778709424
2254422,Trinkbrunnen,drinking_fountain,4,48.16670361037377,16.508423862588693
2254423,Trinkbrunnen,drinking_fountain,4,48.20256125059522,16.45281502342654
2254424,Trinkbrunnen,drinking_fountain,4,48.20550994254736,16.448398933988905
2254425,Trinkbrunnen,drinking_fountain,4,48.16885179214809,16.504873411639718
2254426,Trinkbrunnen,drinking_fountain,4,48.17238491907227,16.499119398793926
2254427,Trinkbrunnen,drinking_fountain,4,48.175762594314456,16.493749134891225
2254428,Trinkbrunnen,drinking_fountain,4,48.17749391165441,16.49081422810915
2254429,Trinkbrunnen,drinking_fountain,4,48.18300858739743,16.48229809670362
2254430,Trinkbrunnen,drinking_fountain,4,48.18852087671514,16.473840306920277
2254431,Trinkbrunnen,drinking_fountain,4,48.19096890934179,16.47011998235016
2254432,Trinkbrunnen,drinking_fountain,4,48.19559967871519,16.4630760725467
2254433,Trinkbrunnen,drinking_fountain,4,48.21183401829849,16.43880332728397
2254434,Trinkbrunnen,drinking_fountain,4,48.22313486247102,16.422189095386777
2254435,Trinkbrunnen,drinking_fountain,4,48.234150575949236,16.40776023452863
2254436,Trinkbrunnen,drinking_fountain,4,48.23903770884568,16.40245932363499
2254437,Trinkbrunnen,drinking_fountain,4,48.2367992643585,16.40447775820673
2254438,Trinkbrunnen,drinking_fountain,4,48.241611184588244,16.39868496423177
2254439,Trinkbrunnen,drinking_fountain,4,48.24548324773261,16.395726584499048
2254440,Trinkbrunnen,drinking_fountain,4,48.24701644903777,16.39379603754487
2254441,Trinkbrunnen,drinking_fountain,4,48.26777957294556,16.375457415456705
