FID,SHAPE,NAME,TYP_NUM,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.2254853,POINT (16.336274155372838 48.19863474314322),Trinkhydrant,10,2254853,
TRINKBRUNNENOGD.2254854,POINT (16.348973939849213 48.19797834267283),Trinkhydrant,10,2254854,
TRINKBRUNNENOGD.2254855,POINT (16.387955282381327 48.22810392096186),Trinkhydrant,10,2254855,
TRINKBRUNNENOGD.2254856,POINT (16.385030869188597 48.19829122818264),Trinkhydrant,10,2254856,
TRINKBRUNNENOGD.2254857,POINT (16.39389016588217 48.19973492148531),Trinkhydrant,10,2254857,
TRINKBRUNNENOGD.2254858,POINT (16.344244077177155 48.196650522066676),Trinkhydrant,10,2254858,
TRINKBRUNNENOGD.2254859,POINT (16.353720053912316 48.191088797177535),Auslaufbrunnen,7,2254859,
TRINKBRUNNENOGD.2254860,POINT (16.34522993098504 48.20707299830866),Trinkhydrant,10,2254860,
TRINKBRUNNENOGD.2254861,POINT (16.389883760524388 48.19238068252938),Trinkhydrant,10,2254861,
TRINKBRUNNENOGD.2254862,POINT (16.373604762118255 48.2097107659336),Trinkhydrant,10,2254862,
TRINKBRUNNENOGD.2254863,POINT (16.35936613994482 48.21851647995832),Auslaufbrunnen,7,2254863,
TRINKBRUNNENOGD.2254864,POINT (16.393328118137255 48.2288647775873),Trinkhydrant,10,2254864,
TRINKBRUNNENOGD.2254865,POINT (16.35955510084148 48.218539644980844),Auslaufbrunnen,7,2254865,
TRINKBRUNNENOGD.2254866,POINT (16.349650691432682 48.199968592876395),Trinkhydrant,10,2254866,
TRINKBRUNNENOGD.2254867,POINT (16.380086269272763 48.21932945277362),Trinkhydrant,10,2254867,
TRINKBRUNNENOGD.2254868,POINT (16.475609337030907 48.194534218281966),Trinkhydrant,10,2254868,
TRINKBRUNNENOGD.2254869,POINT (16.37376492726561 48.18723503659088),Trinkhydrant,10,2254869,
TRINKBRUNNENOGD.2254870,POINT (16.42309726556081 48.31700930971967),Auslaufbrunnen,7,2254870,
TRINKBRUNNENOGD.2254871,POINT (16.375748569926568 48.220631356292174),Trinkhydrant,10,2254871,
TRINKBRUNNENOGD.2254872,POINT (16.32999111432399 48.19126928046414),Auslaufbrunnen,7,2254872,
TRINKBRUNNENOGD.2254873,POINT (16.37817432832317 48.20675542374225),Auslaufbrunnen,7,2254873,
TRINKBRUNNENOGD.2254874,POINT (16.36783643255504 48.2105738833755),Trinkhydrant,10,2254874,
TRINKBRUNNENOGD.2254875,POINT (16.37548774082524 48.19409010230561),Trinkhydrant,10,2254875,
TRINKBRUNNENOGD.2254876,POINT (16.23597925845868 48.20438465778265),Trinkhydrant,10,2254876,
TRINKBRUNNENOGD.2254877,POINT (16.3655523384004 48.24068885079632),Trinkhydrant,10,2254877,
TRINKBRUNNENOGD.2254878,POINT (16.356676828338486 48.19662581133572),Auslaufbrunnen,7,2254878,
TRINKBRUNNENOGD.2254879,POINT (16.30910151159061 48.20371295970669),Trinkhydrant,10,2254879,
TRINKBRUNNENOGD.2254880,POINT (16.31000375528295 48.12993907721799),Trinkhydrant,10,2254880,
TRINKBRUNNENOGD.2254881,POINT (16.365621930691724 48.19720561664873),Trinkhydrant,10,2254881,
TRINKBRUNNENOGD.2254882,POINT (16.383931901361297 48.218583721688034),Trinkhydrant,10,2254882,
TRINKBRUNNENOGD.2254883,POINT (16.316785892867568 48.2544266882768),Trinkhydrant,10,2254883,
TRINKBRUNNENOGD.2254884,POINT (16.3314433860143 48.22299762831804),Auslaufbrunnen,7,2254884,
TRINKBRUNNENOGD.2254885,POINT (16.385836484453126 48.19785803824704),Trinkhydrant,10,2254885,
TRINKBRUNNENOGD.2254886,POINT (16.360382418023786 48.201772346267774),Trinkhydrant,10,2254886,
TRINKBRUNNENOGD.2254887,POINT (16.351314387389667 48.2019947751548),Trinkhydrant,10,2254887,
TRINKBRUNNENOGD.2254888,POINT (16.461614412030286 48.19218835616991),Trinkhydrant,10,2254888,
TRINKBRUNNENOGD.2254889,POINT (16.373099339804792 48.208926065319105),Trinkhydrant,10,2254889,
TRINKBRUNNENOGD.2254890,POINT (16.393350648213552 48.219905999272605),Auslaufbrunnen,7,2254890,
TRINKBRUNNENOGD.2254891,POINT (16.324028283375736 48.21072369293496),Trinkhydrant,10,2254891,
TRINKBRUNNENOGD.2254892,POINT (16.363365738019887 48.19372165248434),Trinkhydrant,10,2254892,
TRINKBRUNNENOGD.2254893,POINT (16.36954764784482 48.209225160776384),Trinkhydrant,10,2254893,
TRINKBRUNNENOGD.2254894,POINT (16.319093041192698 48.21147505316937),Trinkhydrant,10,2254894,
TRINKBRUNNENOGD.2254895,POINT (16.333200310736967 48.216445155980594),Trinkhydrant,10,2254895,
TRINKBRUNNENOGD.2254896,POINT (16.356193742681327 48.20032966705711),Trinkhydrant,10,2254896,
TRINKBRUNNENOGD.2254897,POINT (16.41508201281949 48.247125119786055),Trinkhydrant,10,2254897,
TRINKBRUNNENOGD.2254898,POINT (16.28411701420931 48.21997844736123),Trinkhydrant,10,2254898,
TRINKBRUNNENOGD.2254899,POINT (16.377811503433918 48.16142375573092),Trinkhydrant,10,2254899,
TRINKBRUNNENOGD.2254900,POINT (16.389480831602715 48.191125233203074),Trinkhydrant,10,2254900,
TRINKBRUNNENOGD.2254901,POINT (16.348821751353615 48.189935080618376),Trinkhydrant,10,2254901,
TRINKBRUNNENOGD.2255374,POINT (16.35643254464113 48.153284807370596),Trinkbrunnen mit Tränke,5,2255374,
TRINKBRUNNENOGD.2255375,POINT (16.392414368778983 48.14015664516731),Spielbrunnen,3,2255375,
TRINKBRUNNENOGD.2255376,POINT (16.392283483394507 48.1400823847281),Trinkbrunnen mit Tränke,5,2255376,
TRINKBRUNNENOGD.2255377,POINT (16.38460272886228 48.217991098932025),Spielbrunnen,3,2255377,
TRINKBRUNNENOGD.2255378,POINT (16.356519007368842 48.194114154268384),Trinkbrunnen,4,2255378,
TRINKBRUNNENOGD.2255379,POINT (16.35632195951578 48.193857900523206),Trinkbrunnen mit Tränke,5,2255379,
TRINKBRUNNENOGD.2255380,POINT (16.380966137996563 48.15440787895996),Trinkbrunnen mit Tränke,5,2255380,
TRINKBRUNNENOGD.2255381,POINT (16.394213604016425 48.15438873653784),Trinkbrunnen mit Tränke,5,2255381,
TRINKBRUNNENOGD.2255382,POINT (16.415304411505474 48.179284206657194),Trinkbrunnen,4,2255382,
TRINKBRUNNENOGD.2255383,POINT (16.38455607667388 48.15586425338886),Trinkbrunnen,4,2255383,
TRINKBRUNNENOGD.2255384,POINT (16.420783001158977 48.17950681990702),Trinkbrunnen mit Tränke,5,2255384,
TRINKBRUNNENOGD.2255385,POINT (16.38784566080904 48.15783750658197),Trinkbrunnen mit Tränke,5,2255385,
TRINKBRUNNENOGD.2255386,POINT (16.364814163732596 48.234866333352194),Trinkbrunnen mit Tränke,5,2255386,
TRINKBRUNNENOGD.2255387,POINT (16.276067080818738 48.19634629210856),Trinkbrunnen,4,2255387,
TRINKBRUNNENOGD.2255388,POINT (16.275344731890087 48.19686391940054),Trinkbrunnen mit Tränke,5,2255388,
TRINKBRUNNENOGD.2255389,POINT (16.274204297714462 48.197311422213886),Trinkbrunnen,4,2255389,
TRINKBRUNNENOGD.2255390,POINT (16.3842569360011 48.23890255291192),Trinkbrunnen mit Tränke,5,2255390,
TRINKBRUNNENOGD.2255391,POINT (16.46624536440992 48.15176579016487),Trinkbrunnen mit Tränke,5,2255391,
TRINKBRUNNENOGD.2255392,POINT (16.36799007265031 48.234973715720066),Spielbrunnen,3,2255392,
TRINKBRUNNENOGD.2255393,POINT (16.429068433589364 48.16519680063791),Trinkbrunnen,4,2255393,
TRINKBRUNNENOGD.2255394,POINT (16.425800674945737 48.16725617701271),Trinkbrunnen,4,2255394,
TRINKBRUNNENOGD.2255395,POINT (16.373530925095867 48.234227326296484),Trinkbrunnen,4,2255395,
TRINKBRUNNENOGD.2255396,POINT (16.37689529879992 48.237098366024235),Spielbrunnen,3,2255396,
TRINKBRUNNENOGD.2255397,POINT (16.37864489348565 48.24001215071181),Trinkbrunnen mit Tränke,5,2255397,
TRINKBRUNNENOGD.2255398,POINT (16.369335496854877 48.226460585193365),Trinkbrunnen,4,2255398,
TRINKBRUNNENOGD.2255399,POINT (16.36928875572793 48.226223128963284),Spielbrunnen,3,2255399,
TRINKBRUNNENOGD.2255400,POINT (16.367647190253237 48.23558031100649),Trinkbrunnen mit Tränke,5,2255400,
TRINKBRUNNENOGD.2255401,POINT (16.31726866011453 48.148655284715026),Trinkbrunnen,4,2255401,
TRINKBRUNNENOGD.2255402,POINT (16.376594316262036 48.23190801783987),Trinkbrunnen,4,2255402,
TRINKBRUNNENOGD.2255403,POINT (16.40812490374658 48.13499748773568),Spielbrunnen,3,2255403,
TRINKBRUNNENOGD.2255404,POINT (16.420126409207164 48.13218433894813),Trinkbrunnen mit Tränke,5,2255404,
TRINKBRUNNENOGD.2255405,POINT (16.368264660290226 48.24019889096198),Spielbrunnen,3,2255405,
TRINKBRUNNENOGD.2255406,POINT (16.363308918399746 48.230713753965894),Trinkbrunnen,4,2255406,
TRINKBRUNNENOGD.2255407,POINT (16.313854501335108 48.13091019791461),Trinkbrunnen mit Tränke,5,2255407,
TRINKBRUNNENOGD.2255408,POINT (16.269882082284045 48.1512763885991),Trinkbrunnen,4,2255408,
TRINKBRUNNENOGD.2255409,POINT (16.292020574944466 48.14815546929489),Trinkbrunnen mit Tränke,5,2255409,
TRINKBRUNNENOGD.2255410,POINT (16.3210690918303 48.21275660840939),Trinkbrunnen mit Tränke,5,2255410,
TRINKBRUNNENOGD.2255411,POINT (16.291530612295798 48.23372064472098),Trinkbrunnen mit Tränke,5,2255411,
TRINKBRUNNENOGD.2255412,POINT (16.244771815396387 48.20773418815908),Trinkbrunnen,4,2255412,
TRINKBRUNNENOGD.2255413,POINT (16.36442484096564 48.21778381932536),Trinkbrunnen mit Tränke,5,2255413,
TRINKBRUNNENOGD.2255414,POINT (16.314689729626178 48.20670708927633),Trinkbrunnen,4,2255414,
TRINKBRUNNENOGD.2254902,POINT (16.33652068620308 48.223842484693506),Trinkhydrant,10,2254902,
TRINKBRUNNENOGD.2254903,POINT (16.308823260545964 48.213172816908376),Trinkhydrant,10,2254903,
TRINKBRUNNENOGD.2254904,POINT (16.395885067760055 48.19277522133288),Trinkhydrant,10,2254904,
TRINKBRUNNENOGD.2254905,POINT (16.36893819106775 48.229088173709826),Trinkhydrant,10,2254905,
TRINKBRUNNENOGD.2254906,POINT (16.28690142404063 48.235501624893274),Auslaufbrunnen,7,2254906,
TRINKBRUNNENOGD.2254907,POINT (16.257106011362076 48.18761251559904),Trinkhydrant,10,2254907,
TRINKBRUNNENOGD.2254908,POINT (16.375877268073854 48.18955989052293),Trinkhydrant,10,2254908,
TRINKBRUNNENOGD.2254909,POINT (16.34858005040016 48.19211239910808),Trinkhydrant,10,2254909,
TRINKBRUNNENOGD.2254910,POINT (16.38173358399456 48.17757961053254),Auslaufbrunnen,7,2254910,
TRINKBRUNNENOGD.2254911,POINT (16.322801113492673 48.197312894521126),Auslaufbrunnen,7,2254911,
TRINKBRUNNENOGD.2254912,POINT (16.25315478352503 48.19847169203764),Trinkhydrant,10,2254912,
TRINKBRUNNENOGD.2254913,POINT (16.255817862846595 48.15963993684092),Auslaufbrunnen,7,2254913,
TRINKBRUNNENOGD.2254914,POINT (16.271508620032456 48.19622698080062),Trinkhydrant,10,2254914,
TRINKBRUNNENOGD.2254915,POINT (16.376039258940843 48.21156700803995),Trinkhydrant,10,2254915,
TRINKBRUNNENOGD.2254916,POINT (16.345095379003013 48.20328820486389),Trinkhydrant,10,2254916,
TRINKBRUNNENOGD.2254917,POINT (16.34497437095486 48.20447819799787),Trinkhydrant,10,2254917,
TRINKBRUNNENOGD.2254918,POINT (16.350977407525953 48.19733733151981),Trinkhydrant,10,2254918,
TRINKBRUNNENOGD.2254919,POINT (16.391878106515854 48.212117577550195),Auslaufbrunnen,7,2254919,
TRINKBRUNNENOGD.2254920,POINT (16.385292904716334 48.18856818827182),Trinkhydrant,10,2254920,
TRINKBRUNNENOGD.2254921,POINT (16.354622407217168 48.202251074383256),Trinkhydrant,10,2254921,
TRINKBRUNNENOGD.2254922,POINT (16.391897669455364 48.192253458101916),Trinkhydrant,10,2254922,
